从《唐律疏义》看唐代封爵贵族的法律特权	从《唐律疏义》看唐代封爵贵族的法律特权《唐律疏义》,封爵贵族,法律特权
探究中美贸易摩擦原因	探究中美贸易摩擦原因中美贸易摩擦,摩擦原因,应对策略
福建自贸区的发展现状	福建自贸区的发展现状及存在问题探究福建自贸区,现状,对策,人才
大豆叶面积垂直分布对产量及农艺性状的影响	大豆叶面积垂直分布对产量及农艺性状的影响
合作学习构建初中美术高效课堂的研究	合作学习构建初中美术高效课堂的研究合作学习;初中美术;高效课堂
中小型企业信贷融资	互联网背景下中小型企业的银行信贷业务分析银行信贷,中小型企业,互联网
基于GPS在煤矿测量工程中的应用分析	基于GPS在煤矿测量工程中的应用分析GPS,煤矿测量,应用
市场营销沟通策略	Talented Fine Brands在中国葡萄酒行业的市场营销和沟通策略：基于对中国消费者行为分析的案例研究葡萄酒企业;中国市场;营销模式;沟通策略;消费者行为;智利
电路安装注意事项	维修电工职业技能考试电路安装与调试的注意事项异步电动机,控制电路,测试
Estimation of leakage current level on the transformer bushing using regression technique	Estimation of Leakage Current Level on the Transformer Bushing using Regression Techniqueleakage current,high voltage Insulators,meteorological conditions,regression
药物固体分散体技术回顾与展望	药物固体分散体技术回顾与展望固体分散体,制备技术,载体材料
媒介融合背景下我国电视综艺节目的创新	媒介融合背景下我国电视综艺节目的创新媒介融合,电视综艺节目,发展趋势,创新
西部地区城镇化存在的问题	西部地区城镇化中存在的主要问题及对策研究西部地区,城镇化,问题,对策
当代大学生对待婚姻的态度	大学生爱情态度与婚姻观现状及教育对策探究——以江苏农牧科技职业学院为例大学生,爱情态度,婚姻观
从学生职业生涯规划中重构高职辅导员队伍的探讨	从学生职业生涯规划中重构高职辅导员队伍的探讨职业生涯规划,辅导员,构建
晚期流产的病因和处理 范建霞	晚期流产的病因和处理
机械设备安全生产管理的重要性及其强化措施	机械设备安全生产管理的重要性及其强化措施机械设备,安全生产管理,重要性,强化措施
中国药业 医药集团	悦康药业:研发创新驱动、定位于高端化学药制造的大型医药企业集团
强直性脊柱炎诊断及治疗新进展	强直性脊柱炎诊断及治疗新进展强直性脊柱炎,炎性腰背痛,肿瘤坏死因子抑制剂
异丙醇水等温方程	低碳醇—水体系的液液相行为及热力学模拟生物质发酵液;低碳醇-水体系;液液相平衡;热力学模拟;模型分析
地区居民消费差异的模型	中国居民消费价格指数地区差异与同步性分析——基于动态因子模型的实证研究居民消费价格指数,动态因子模型,因素分解,格兰杰因果检验
慢性乙肝患者实施免疫球蛋白检验的临床意义与影响	慢性乙肝患者实施免疫球蛋白检验的临床意义与影响慢性乙型肝炎,免疫球蛋白,临床意义
乡村健康养老建筑设计分析与研究	乡村健康养老建筑设计分析与研究人口老龄化,乡村健康养老建筑,设计策略
防城港市水土流失	防城港市水土流失特点及防治对策水土流失,防治对策,防城港市
独生子女与非独生子女心理健康状况比较研究	独生子女与非独生子女心理健康状况比较研究独生子女,非独生子女,心理健康
广州市高速公路交通安全管理现状、存在问题及防范对策	浅议广州市高速公路交通安全管理现状、存在问题及防范对策高速公路,交通安全,现状,对策
白及多糖在生物医药材料领域中的应用研究进展	白及多糖在生物医药材料领域中的应用研究进展白及多糖,生物医药材料,结构修饰,研究进展
中小学教师情绪智力与职业倦怠的关系研究	中小学教师情绪智力与职业倦怠的关系研究中小学教师,情绪智力,职业倦怠
血栓与止血基础与临床	血栓与止血检测的临床应用血液凝固障碍,血栓形成,血液凝固试验,诊断,鉴别
无信号交叉口的车载	无信号交叉口的车载诱导策略及实现无信号交叉口,车速诱导算法,仿真,嵌入式系统
玉米  螯合 锌	玉米肽-锌螯合物对小鼠免疫功能的影响玉米肽-锌螯合物,免疫佐剂,免疫功能
Bi-ZSM-5	气固相同晶取代法合成杂原子分子筛Bi-ZSM-5催化剂及其在乙炔氢氯化反应中的应用气固相同晶取代,乙炔氢氯化,Bi-ZSM-5,失活
重视首诊成功根除幽门螺杆菌的重要性	重视首诊成功根除幽门螺杆菌的重要性
某医学院 562 名临床实习阶段学生需求状况调查	某医学院562名临床实习阶段学生需求状况调查卫生服务需求,实践模式,职业,学生,医科
扩大有效投资是稳增长的关键支撑	扩大有效投资促进区域高质量发展的思考——以重庆市S区为例区域经济,有效投资,高质量发展,路径重点
基于自动指纹识别的考勤系统设计	基于自动指纹识别的考勤系统设计企业管理;考勤系统;软件设计;自动指纹识别
\浅谈《新教伦理与资本主义精神》\	浅谈《新教伦理与资本主义精神》韦伯,新教改革,资本主义精神
儿童智能系列产品	3-6岁儿童多元智能玩教具设计儿童玩具;多元智能;游戏特征;创新设计
论汉语动词的重叠形式	论现代汉语动词重叠的形式动词重叠,短语,音节,形式构成,数词,语言材料,汉语动词,现代汉语语法,构词法,语音
疼痛护理对四肢骨折	综合护理对四肢创伤骨折术后疼痛的影响综合护理,四肢创伤骨折,术后疼痛
Zn肥基施对水稻吸收转运Cd的影响	Zn肥基施对水稻吸收转运Cd的影响锌,镉,水稻,重金属
混凝土裂缝影响因素	建筑混凝土裂缝的主要影响因素及施工处理技术建筑混凝土裂缝,主要影响因素,施工处理技术
LPS 成骨细胞	白藜芦醇对LPS诱导的MC3T3-E1成骨细胞的骨保护作用白藜芦醇,脂多糖,成骨细胞
中国ERCP指南（2018 版）	中国经内镜逆行胰胆管造影术指南(2018版)胰胆管造影术,内窥镜逆行,中国,诊疗准则
产业园区满意度调查	后工业类型的深圳市创意产业园景观满意度调查研究城市规划;创意产业园;景观设计;满意度评价
微酸次氯酸水消毒效果实验室评价	微酸次氯酸水消毒效果实验室评价次氯酸水,杀灭率,有效氯含量,腐蚀性
长期施用氮肥和磷肥对东北黑土丛枝菌根真菌群落组成的影响	长期施用氮肥和磷肥对东北黑土丛枝菌根真菌群落组成的影响长期施肥,东北黑土,丛枝菌根真菌,群落组成,Illumina Miseq测序
珠江三角洲大气颗粒物污染特征与过程分析	珠江三角洲大气颗粒物污染特征与过程分析大气污染;气溶胶积累;过程分析;化学组分
滚动弹性流体动力润滑	滚动弹性流体动力润滑接触中心油膜厚度随时间变化的常规研究方法弹性流体动力润滑,刚体位移,相互接近,振动
胃残余量测定在预防肠内营养并发症中 的意义	胃残余量测定在预防肠内营养并发症中的意义胃残余量,肠内营养,并发症
在线学习平台的设计与实现	基于JavaWeb的在线学习平台的设计与实现Java,J2EEWeb,在线学习平台,设计与实现
国际学生  课程	\一带一路\视域下国际学生汉语课堂\课程思政\的探索与实践——以汉语国际教育为例汉语国际教育,课程思政,国际学生
Study on the Mechanical Property and Microstructure of	Study on the mechanical property and microstructure of surgical implanted Ti-6AI-7Nb titanium alloyBiocompatability,,Biomaterial,,Ti-6AI-7Nb Titanium Alloy,,Orthopedic Application,,Mechanical Property,,Microstructure
基于TCP/IP协议的嵌入式	基于TCP/IP协议栈的嵌入式系统通信方案设计研究TCP/IP,协议栈,嵌入式系统,通信方案
中国现代农学的开创者——记京师大学堂农科大学首任监督罗振玉先生	中国现代农学的开创者——记京师大学堂农科大学首任监督罗振玉先生罗振玉,现代农学,开拓者,改革
经骶尾入路手术治疗骶前肿瘤	经骶尾入路手术治疗骶前肿瘤骶前肿瘤,经骶尾入路,手术治疗
unity3D在游戏中的应用	Unity3D在Android游戏开发中的应用Unity3D,An doird,游戏开发
高活性甲苯燃烧Co3O4介孔纳米线和纳米棒催化剂的制备与表征	高活性甲苯燃烧Co3O4介孔纳米线和纳米棒催化剂的制备与表征
ER在卵巢上皮性肿瘤中的表达及意义	ERα和AROM在上皮性卵巢癌中的表达及临床意义雌激素受体α,芳香化酶,上皮性浆液性卵巢癌
海洋生态保护红线制度框架设计研究	海洋生态保护红线制度框架设计研究海洋,生态红线,制度,体系
水杨酸对小麦生长的作用	外源水杨酸缓解复合防腐剂对小麦幼苗生长的胁迫效应研究复合防腐剂,水杨酸,小麦幼苗,胁迫作用,缓解效应
谈周代礼乐制度影响下的孔子音乐思想	谈周代礼乐制度影响下的孔子音乐思想西周,礼乐制度,孔子,音乐思想
特殊儿童美术兴趣	探析提高特殊儿童对美术兴趣的策略提高,特殊儿童,兴趣,策略
联合循环中余热锅炉 设计参数	联合循环中的余热锅炉及其设计参数选择燃气-蒸汽联合循环,余热锅炉,设计参数
氯雷他定片溶出度	2种不同溶出介质测定氯雷他定片溶出度方法比较氯雷他定片,溶出度,紫外-可见分光光度法
基于ansys的粘弹性地基上粘弹性板	基于ANSYS的粘弹性地基上粘弹性板的振动特性研究粘弹性板;粘弹性地基;模态分析;瞬态动力分析
心肌梗死年龄化分析	不同年龄段急性心肌梗死患者临床特征及危险因素分析急性心肌梗死;临床特征;治疗策略;血管病变
卞华 南阳理工学院	从\虚\和\瘀\论治硬皮病硬皮病,病因病机,虚,瘀,辨证论治
关系推理视觉问答	基于空间注意力推理机制的视觉问答算法研究视觉问答,注意力机制,多模态学习,自注意力,空间推理注意力
古代埃及的服饰艺术	古代埃及的服饰艺术
关于建筑工程施工管理的影响因素及解决对策 何勇方	关于建筑工程施工管理的影响因素及解决对策建筑工程,施工管理,影响因素
急性脑梗死六小时以内的静脉溶栓治疗	急性脑梗死六小时以内的静脉溶栓治疗血栓溶解疗法,脑梗塞,尿激酶
云南气象地质灾害与降水的关系（地质灾害气象预报 预警技术文集	云南气象地质灾害危险等级PP-ES预报方法气象地质灾害,危险等级,完全预报,专家系统,降水量
王琪农村基层如何锤炼优良作风	农村基层干部如何锤炼优良作风农村基层干部,作风建设,理论学习
临床医学专业本科生医学统计学学习现状及需求调查	临床医学专业本科生医学统计学学习现状及需求调查临床医学专业,医学统计学,本科生
Chemerin/chemR23 对银屑病患者外 周血Th9/Treg 细胞平衡的影响	Chemerin/chemR23对银屑病患者外周血Th9/Treg细胞平衡的影响银屑病,chemerin,chemR23,辅助性T淋巴细胞9,调节性T淋巴细胞
膜分离-变压吸附集成工艺脱除天然气中酸性气体	膜分离-变压吸附集成工艺脱除天然气中酸性气体膜分离,变压吸附,天然气,酸性气体
强化营养护理对维持血液透析患者营养状况	强化营养护理对维持性血液透析患者营养状况及钙磷代谢的影响维持性血液透析,强化营养护理,钙磷代谢,营养状况
城市社区环境治理中的公众参与研究	城市社区环境治理中的公众参与研究城市社区环境;公众参与;治理模式
慢性支气管炎影像	慢性支气管炎CT影像诊断价值分析慢性支气管炎,CT影像
小麦胚芽多糖的亚临界水萃取的工艺研究	小麦胚芽多糖的亚临界水萃取的工艺研究小麦胚芽,多糖,亚临界水
国内学术界关于“单位制”的研究综述	国内学术界关于\单位制\的研究综述
基于卷积神经网络的人体姿态估计	基于卷积神经网络的人体姿态估计人体姿态估计;卷积神经网络;数据预处理;特征提取
非小细胞肺癌中医分型	非小细胞肺癌中医证型与病理分期的辨证分析非小细胞肺癌,中医证型,病理分期,辩证分析
血管内超声  冠心病	血管内超声在冠心病介入治疗中的应用价值
传染性单核细胞增多症患儿	情志护理在传染性单核细胞增多症护理中的应用及对患儿监护人护理满意度的影响情志护理,传染性单核细胞增多症,监护人护理满意度,患儿
高管股权激励效果与企业规模	股权激励、投资效率与企业绩效的关系研究——以我国高新技术上市公司为例股权激励;上市公司;企业绩效;中介效应;高新技术企业
插电式串联混合动力公交车能量管理策略优化及HCU硬件在环测试	插电式串联混合动力公交车能量管理策略优化及HCU硬件在环测试能量管理;电池特性;参数优化;模糊算法;混合动力公交车
取样卸荷对膨胀性泥岩强度与变形特性影响的试验研究	取样卸荷对膨胀性泥岩强度与变形特性影响的试验研究泥岩,取样卸荷,应力路径,强度,变形
部编版教材审美教育	部编版教材中的语文审美教育研究——以朱自清《春》为例审美教育,部编版教材,《春》,审美体验,审美情感
敦煌太阳能资源分析	甘肃敦煌10MW光伏并网发电特许权示范项目存在问题分析光伏并网发电,特许权,电价,电力外送,电力消纳,税制改革
边底水稠油油藏开发规律研究	边底水稠油油藏开发规律研究稠油油藏,水侵,开发特征,开发对策,孤岛油田
任务型阅读教学初中英语	任务型语言教学在初中英语阅读教学中的应用研究初中英语;任务型语言教学;英语阅读;学习兴趣
伴球内异物的开放性眼外伤早期行玻璃体手术的疗效观察	伴球内异物的开放性眼外伤早期行玻璃体手术的疗效观察早期玻璃体手术,球内异物,眼内炎,开放性眼外伤
软件体系结构设计	基于过程约束信息的层次式软件体系结构设计过程约束,层次式软件,体系结构设计,资源配置,中间件
葡萄有机酸与人体健康	葡萄酒与健康
VR AR交互设计	——以广西壮锦元素融入室内设计为例VR与AR技术,非遗元素,壮锦,室内设计
数码摄影课程思政	《摄影与摄像》课程的思政教育实践摄影摄像,思政教育,教育实践,课程思政
氯化钙大肠杆菌感受态	冰浴时间对氯化钙转化法转化效率的影响冰浴,感受态细胞,转化效率
单亲小学生心理健康	农村单亲家庭小学生心理健康教育策略初探农村,单亲家庭,小学生,心理健康教育,策略
伴薄壁空腔的周围型肺癌	伴薄壁空腔的周围型肺癌CT特点及征象分析肺肿瘤,空腔,体层摄影术,X线计算机
各向同性媒质本构关系	一些复杂电磁媒质的本构关系复杂电磁媒质,本构关系,双各向同性,各向异性,双各向异性
抗肿瘤药物的研究及发展前景	几种天然抗肿瘤药物的研究前景抗肿瘤,大豆异黄酮,白藜芦醇,薏苡仁酯
SLE疾病活动指数	系统性红斑狼疮疾病活动指数评分与心脏损害超声心动图表现的关系系统性红斑狼疮;疾病活动指数;心脏功能障碍;超声心动图;心脏损害
牡丹皮提取溶剂选择	牡丹雄蕊的抗氧化活性及酚类成分分析牡丹雄蕊,抗氧化活性,酚类成分
《中国血液流变学杂志》简介	《中国血液流变学杂志》简介
胰岛素自身免疫综合征 药物	临床药师参与含巯基药物致胰岛素自身免疫综合征病例的药学实践含巯基药物,胰岛素自身免疫综合征,低血糖,临床药师
现实主义教育理念	游走在理想主义与现实主义之间:诊所法律教育在我国的实现路径诊所法律教育,法律现实主义,概念式教育,理想主义
基于GIS和证据权重法的普朗矿区斑岩型铜矿遥感成矿预测研究	《日伪关系研究-以华东地区为中心》《日伪关系研究-以华东地区为中心》,张生,李士群,国民政府
探讨抗结核药物的药理作用	主要抗结核药物致肝脏损伤的关联性研究抗结核药物,脂质过氧化反应,细胞色素P450(CYP)酶,药物间相互作用
中国城乡居民生活满意度的统计调查分析	中国城乡居民生活满意度的统计调查分析
文理科学生学习解析几何的差异	文理科学生学习解析几何的差异文科生,理科生,解析几何,差异,原因
不同品种黄花菜游离氨基酸组成的主成分分析及聚类分 析	不同品种黄花菜游离氨基酸组成的主成分分析及聚类分析黄花菜,游离氨基酸,味道强度值,主成分分析,聚类分析
干细胞在周围神经再生中的应用研究进展	干细胞在周围神经再生中的应用研究进展干细胞,施万细胞,周围神经再生
HFMEA模式对PICC置管新生儿预后、满意度及家庭经济负担影响分析	HFMEA模式对PICC置管新生儿预后、满意度及家庭经济负担影响分析HFMEA模式,PICC置管,新生儿预后,满意度
NH2-MIL-53(Al)	不同氨基修饰条件对NH2-MIL-53（Al）CO2吸附性能的影响金属有机骨架材料,NH2-MIL-53(Al),合成,CO2 捕集,吸附,功能化,氨基含量,氨基种类
如何做好农业部门人力资源开发与管理	中国农村人力资源开发中的政府角色研究——基于科学发展的理论视阈政府角色;人力资源开发;三农问题;科学发展观;城镇化
禁带宽度 载流子浓度	宽禁带半导体的本征载流子浓度宽禁带半导体,本征载流子,禁带宽度,电力电子器件
护理干预对晚期肝癌患者生活质量的影响	护理干预对晚期肝癌患者生活质量的影响晚期肝癌,护理干预,生活质量
electro-thermal modeling of a lithium-ion battery system[	Electro-Thermal Modeling of a Lithium-Ion Battery SystemBatteries,,Electric vehicles,,Hybrid vehicles,,Lithium,,Thermodynamics
以天然药物化学知识竞赛为契机探索课程教改	以《天然药物化学》知识竞赛为契机探索课程教改高职高专,天然药物化学,知识竞赛,教学改革
LDPC 初始信息 打孔	基于LDPC码的卫星通信自适应编码调制技术研究低密度奇偶校验码;自适应编码调制;信道估计;信道预测;传输模式;卫星通信
水利工程中混凝土检测试验数据	水利工程中混凝土检测试验与质量控制措施水利工程,混凝土,检测试验,质量控制
弹簧钢热处理工艺	50CrV4中碳高强弹簧钢热处理工艺研究50CrV4钢;中碳高强弹簧钢;球化退火;连续退火;淬火热处理;组织性能
多孔碳电极材料在超级电容	多孔碳电极材料在超级电容器中的应用与发展多孔碳,氮官能化,超级电容器
互联网金融的功能	互联网金融模式及其本质研究——基于功能与影响的分析互联网金融,金融功能,金融中介,交易成本,信息不对称
\乡村景观评价指标体系与评价方法研究\	乡村景观评价指标体系与评价方法研究乡村景观,评价,指标体系
优化生产线布局提高生产效率	优化生产线布局提高生产效率精益生产,生产线布局,柔性制造,生产效率,非增值时间
微电网并联逆变器虚拟阻抗控制策略研究	微电网并联运行虚拟同步发电机控制策略研究微电网;并联运行;虚拟同步发电机;控制策略;可靠性
幼儿园早期阅读中教师指导存在的问题	大班幼儿图画书阅读指导的问题及对策研究幼儿园;画书阅读;教师指导
工业企业存货管理	工业企业存货管理问题与对策工业企业,存货管理,货物存量
气相色谱分析中是否一定要用质谱检测器	气相色谱分析中是否一定要用质谱检测器?
.略谈舞蹈与戏剧的同化和异化倾向	抗褐变剂对鲜切马铃薯褐变控制的研究进展
桔梗化学成分研究进展	桔梗的化学成分与用途的研究进展桔梗,总桔梗,提取,化学成分
图论预测蛋白质序列	基于图论方法的蛋白质结构预测问题的研究蛋白质;二级结构;预测方法;图论算法;二硫键;准确率
结节性筋膜炎临床	结节性筋膜炎的临床及影像学表现结节性筋膜炎,磁共振成像,超声
关于重庆农业机械化发展的思考	关于西南山地丘陵地区农业机械化发展四大支撑的思考
GP方案治疗晚期乳腺癌的临床疗效观察	GP方案治疗晚期乳腺癌的临床疗效观察AT方案,乳腺癌,GP方案,紫杉醇
大气环境监测中的光谱学技术	环境大气监测中的光谱学和化学技术化学分析技术,痕量气体:光谱技术
肺癌 死亡率 中国	2014年中国肺癌发病和死亡分析肺肿瘤,发病率,死亡率,肿瘤登记,中国
列车运行图均衡性评价方法研 究[	列车运行图均衡性评价方法研究列车运行图,偏离,模糊决策,均衡性
阿尔茨海默病 基因	一个中国汉族群体阿尔茨海默病的基因突变研究阿尔茨海默病;额颞叶变性;基因突变;致病性
中小学管理的三个维度	中小学管理的三个维度中小学,管理,三个维度
Sandstone separator	混凝土砂石分离机的设计砂石分离机,混凝土回收,提石机,提砂机
变应性鼻炎及其对哮喘的影响(ARIA)2016年修订版解读	变应性鼻炎及其对哮喘的影响(ARIA)2016年修订版解读鼻炎,变应性,哮喘,药物治疗
大学生体质健康现状及问题研究	大学生体质健康现状及问题研究大学生体质,健康,体育锻炼,运动
农文旅一体化发展的思考	对推动\农文旅\一体化发展的思考农文旅,一体化发展,应用与推广
人工流产研究进展	人工流产患者术前心理反应及干预措施的研究进展人工流产,心理,干预
新疆阿克苏核桃果实生长特性与栽培管理技术要点	新疆阿克苏核桃果实生长特性与栽培管理技术要点新疆阿克苏地区,核桃果实生长,核桃栽培
新冠  社区志愿服务	新冠肺炎疫情防控中的\志愿者+社区社会组织\模式服务效力及其反思新冠肺炎,疫情防控,志愿服务,社区社会组织
地图制图模块设计	地图整饰模块的设计与实现地图制图,地图整饰,地理信息系统,面向对象,组件化
延迟退休与养老金收支平衡	延迟退休政策与生育政策调整的效应研究——基于个人养老金财富、养老基金收支平衡的双重考察生育政策;延迟退休;城镇职工;基本养老保险;个人养老金;养老保险基金;收支平衡
红土镍矿火法冶炼工艺现状及进展	红土镍矿火法冶炼工艺现状及进展红土镍矿,火法冶炼,工艺,进展
印度南瓜（Cucurbita maxima Duch.）强雌基因定位及候选基因分析	印度南瓜(Cucurbita maxima Duch.)强雌基因定位及候选基因分析印度南瓜;品种选育;强雌性状;基因定位
基于MATLAB的ASR模糊仿真分析	基于MATLAB的ASR模糊仿真分析汽车,驱动(轮)防滑系统(ASR),模糊控制,起步行驶,仿真分析
煤化工工艺中二氧化碳减排技术分析	煤化工工艺中二氧化碳减排技术分析煤化工工艺,二氧化碳,具体来源,减排技术
病毒性脑膜炎和急性细菌性脑膜炎	急性细菌性脑膜炎和病毒性脑膜炎的鉴别诊断细菌性脑膜炎,病毒性脑膜炎,脑脊液,鉴别诊断
精细注采管理在油田开发中的应用	精细管理在提高油田注水质量上的应用策略精细管理,油田注水质量,应用策略
生物种质资源资产化管理研究	生物种质资源资产化管理研究生物种质资源;资产化管理;产权界定
助产士整体护理干预对妊娠结局及分娩镇痛的影响	助产士整体护理干预对妊娠结局及分娩镇痛的影响助产士整体护理干预,妊娠结局,分娩镇痛,影响
腹腔热灌注的药物使用	铂类治疗药物应用于持续腹腔热灌注治疗时的肾毒性评价铂类治疗药物,持续腹腔热灌注,肾毒性
恩度不同给药途径联合TP	恩度不同给药途径联合TP方案治疗进展期卵巢癌的临床观察卵巢癌,血管内皮抑素,恩度,持续静脉泵入,静脉滴注,血管内皮生长因子,血管生成
食物在口腔中的消化	人的消化系统对食物的化学消化消化系统,食物,化学消化
外语实习调查报告	加强技能训练，有效提升英语师范生职业竞争力——广西教育学院外语系教学技能训练课程实施调查报告英语师范生,教学技能,综合训练,职业竞争力
大跨度矮塔斜拉桥	考虑行波效应的大跨度矮塔斜拉桥耐震时程分析矮塔斜拉桥,地震,行波效应,碰撞响应,耐震时程法
商业银行中间业务网络化	中国商业银行中间业务发展研究商业银行;中间业务;分业经营
3d打印微流控芯片	器官芯片的生物3D打印
许桦. 内高压成形管件在汽车上的应用	内高压成形管件在汽车上的应用汽车零件轻量化,内高压,液压成形,空心管材,应力,失效
老年人健康危险行为	河南开封农村失能老年人健康行为及影响因素研究失能,老年人,健康行为,影响因素
大规模无线MIMO的频谱效率及性能研究	均匀平面天线阵列的大规模MIMO系统评估无线通信,大规模多输入多输出,功率谱,空间衰落相关性,信道容量
三氯丙酮在叶酸制备过程中的应用	叶酸的绿色合成工艺研究叶酸;合成工艺;酸精制;碱精制;药物纯度;药品产率
中国路桥隧水利工程	关于水利工程隧洞施工中常出现的塌方的问题的研究水利工程,隧洞施工,塌方处理
Discovery and functional verification of endogenous glucanases for scleroglucan hydrolysis in Sclerotium rolfsii	齐整小核菌内源小核菌胶水解酶的挖掘及其功能验证齐整小核菌,硬葡聚糖,葡聚糖酶,分子量,多糖水解
铝合金 铸造 智能	数字化智能化铝合金低压金属型绿色铸造系统智能化,低压金属型,铝合金,绿色铸造,生产线
飞机环控管路设计	飞机环控系统管路设计研究与探讨环控系统,管道设计,流阻,热应力补偿,水陆两栖飞机,空调系统,引气系统
绿色包装材料在快递行业	18EGO校园O2O绿色快递包装设计研究校园电商平台;快递行业;包装设计;绿色理念
PBAT/PLA	扩链剂增容PLA/PBAT共混物流变性能聚乳酸,聚己二酸/对苯二甲酸丁二酯,扩链剂,动态流变
老年膀胱过度活动症	研究中西医结合治疗老年女性膀胱过度活动症的效果老年,女性,膀胱过度活动症,中西医结合
离心泵流道中固体颗粒运动规律的研究	离心泵流道中固体颗粒运动规律的研究
TG-DSC研究AP	HTPB/AI/AP/RDX复合推进剂组元之间相互作用研究物理化学,HTPB推进剂,动力学,差示扫描量热法,热重法,复合推进剂
单元目标多维分析表	体育课程需要目标单元教学设计体育课程,目标单元,目标单元教学设计,课程规划结构
氢在a-Fe中的扩散陷阱	氢在a-Fe中的扩散及其氢陷阱效应的研究
灵活就业社保补贴补贴范围	实行\三结合\做好下岗失业人员社保补贴工作灵活就业,补贴范围,相结合,再就业,下岗失业人员,三结合,社保,漳平市
老年人心理健康服务体系建设	老年人心理健康服务体系的构建老年人,心理健康,服务体系
浅议土木工程施工中存在的问题	浅议土木工程施工中存在的问题土木工程,施工管理,存在问题
半导体气体传感器	半导体氧化物热线气体传感器半导体氧化物;气体传感器;气敏机理;Sb掺杂
运输路线优化方案	汽车整车配载与运输路线优化方案及算法研究整车配载,非满载运输,满载运输,Dijkstra算法,C-W节约算法
燃气锅炉  烟气 加热	浅析烟气余热回收技术在燃气供热锅炉中的应用锅炉,烟气,烟气余热,回收技术
在线健康管理系统	在线诊疗健康管理系统的设计与实现
昆虫触角叶的结构	昆虫触角叶的结构昆虫,触角叶,嗅觉,神经元,纤维球,性别差异
高碳醇丙烯酸酯接枝改性硅油乳化性能的研究	聚甲基氢硅氧烷的改性及其性能研究聚甲基氢硅氧烷;接枝;丙烯酸酯;烃羧基;乳化性;表面能
新型建筑隔热涂料的室外降温效果	新型建筑隔热涂料的室外降温效果隔热涂料,空心玻璃微珠,粉煤灰漂珠,室外,降温效果
俄罗斯与中国贸易合作前景	中国与中亚、俄罗斯经贸合作前景广阔双边经贸关系,合作前景,俄罗斯,中国,中亚,贸易投资便利化,区域经济合作,上海合作组织
大学生恋爱动机研究综述	大学生恋爱动机研究综述大学生,恋爱,研究
纤维追踪技术探索精神分裂症患者及其同胞的脑白质完整性	纤维追踪技术探索精神分裂症患者及其同胞的脑白质完整性精神分裂症,健康同胞,纤维追踪,白质完整性
高职思政课       教育质量评价体系	高职思政课教学质量评价的现状与对策高职,思政课,教学质量评价
汽车发动机电动增压技术研究	汽车发动机电动增压技术研究电动增压,控制策略,联合仿真,瞬态响应性能
数字图像处理系统	一种便捷数字图像处理系统的MATLAB实现数字图像处理系统,MATLAB,图像变换,图像增强,图像去噪
习近平传统文化观的思想政治教育价值	习近平传统文化观视阈下加强高校思想政治教育的意义、价值和创新路径研究习近平传统文化观,高校思想政治教育,创新路径
初中教师魅力问卷（他评版）的修订及区域性常模的建立	初中教师魅力问卷(他评版)的修订及区域性常模的建立初中教师;魅力评定问卷;区域性常模;验证性因素
科技伦理  新加坡	新加坡学校德育特色
可信 内生安全 内核	基于可信计算的安全策略自动生成机制的研究安全操作系统;安全策略;强制访问控制;二维安全模型;可信计算;自动生成机制
遗传算法优化BP神经网络	基于遗传算法优化的BP神经网络股票价格预测股票价格预测;BP神经网络;遗传算法;非线性动力系统
农田退水 农药  拦截	农田退水净污湿地对污染物的净化效果及机理分析农田退水,净污湿地,净化机制,半透水型坝,面源污染
学生沉迷手机游戏	小学生沉迷手机游戏的危害及对策研究小学生,网络游戏,沉迷
工业控制网络发展	工业控制网络的研究现状及发展趋势工业控制网络,工业以太网,软实时,硬实时,同步硬实时
关于加快煤矿智能化发展的指导意见	对煤矿智能化发展的认识和思考
犯罪对象 犯罪客体	论犯罪客体与犯罪对象的关系犯罪客体,犯罪对象,联系,区别
林琳 内关 足三里	经皮神经电刺激内关、足三里对胃食管反流病患者临床症状及生活质量的影响?胃食管反流病,经皮神经电刺激,生活质量,睡眠质量
写作素材积累与运用	高中议论文写作素材的积累与运用研究高中语文,议论文写作,素材积累与运用
中暑的定义与分级诊断	中暑的定义与分级诊断中暑,热射病,热衰竭,诊断标准
二氢杨梅素的抗疲劳作用研究	二氢杨梅素的抗疲劳作用研究二氢杨梅素,抗疲劳,基因表达
中药的紫外吸收光谱分析	中药提取过程在线紫外光谱分析系统的开发及其工业应用中药生产;提取液浓度;紫外光谱法;在线分析系统;性能评估
染料敏化太阳能电池发展现状	染料敏化纳米薄膜太阳电池研究与现状
陕西凤县羌族文化旅游游客参与探析	陕西凤县羌族文化旅游游客参与探析陕西凤县,羌族文化旅游,游客参与
电力 三维目标检测	目标识别及三维场景标定在电力设施图像监控系统中的应用
玻切术后 抗VEGF	抗VEGF联合玻璃体切割治疗糖尿病视网膜病变的术后护理抗VEGF,玻璃体切割,糖尿病视网膜病变,术后护理
高中语文教学存在的问题	高中语文教学过程中存在的问题和对策分析高中语文,存在问题,对策分析
四川盆地超深层泥页岩纳米孔隙特征及其地质意	四川盆地超深层泥页岩纳米孔隙特征及其地质意义超深层泥页岩,筇竹寺组,纳米孔隙,N2等温吸附,SEM-PCAS
中国大学生睡眠质量性别差异的Meta分析	中国大学生睡眠质量性别差异的Meta分析睡眠,性别特征,Meta分析,学生,文献计量学
国内课堂教学方法研究文献综述	国内外翻转课堂研究综述翻转课堂,国内外,理论和实证,文献综述
